Glyph Name,CSS Content Code
11,\e86f
alpineskiing,\e870
americanfootball,\e871
archery,\e872
arenaofvalor,\e800
athletics,\e801
aussierules,\e802
badminton,\e803
bandy,\e804
baseball,\e805
basketball,\e806
basketball3x3,\e807
beachsoccer,\e808
beachvolley,\e809
biathlon,\e80a
bowls,\e80b
boxing,\e80c
breaking,\e80d
callofduty,\e80e
canoe,\e874
canoeing,\e80f
chess,\e810
counterstrike,\e811
counterstrike,\e812
counterstrikego,\e813
cricket,\e814
crosscountry,\e815
curling,\e816
cycling,\e817
darts,\e818
diving,\e819
dota,\e81a
dota,\e81b
equestrian,\e81c
fencing,\e81d
fieldhockey,\e81e
fifa,\e81f
figureskating,\e820
floorball,\e821
formula1,\e822
formulae,\e823
futsal,\e824
gaelicfootball,\e825
gaelichurling,\e826
golf,\e827
greyhoundraicing,\e828
gymnastics,\e829
handball,\e82a
harnessracing,\e82b
heartstone,\e82c
heroesofnewerth,\e82d
heroesofthestorm,\e82e
horseracing,\e82f
icehockey,\e830
indyracing,\e831
judo,\e832
kabaddi,\e833
lacrosse,\e834
leagueoflegends,\e835
luge,\e836
marathonswimming,\e837
mma,\e838
modernpentathlon,\e839
motorcycleracing,\e83a
motorsport,\e83b
moviesandtvshows,\e83c
nhl,\e83d
olympics,\e83e
overwatch,\e83f
pesapallo,\e840
playerunknownsbattlegrounds,\e841
poker,\e842
politics,\e843
quakeii,\e844
rainbowsix,\e845
rally,\e846
rally,\e85d
rocketleague,\e847
rowing,\e848
rugby,\e873
rugby,\e849
sailing,\e84a
schwingen,\e84b
shooting,\e84c
shorttrackspeedskating,\e84d
skateboarding,\e84e
skijumping,\e84f
smite,\e850
snooker,\e851
soccer,\e852
soccermythical,\e853
softball,\e855
specialodds,\e854
specials,\e856
speedskating,\e857
speedway,\e858
sportclimbing,\e859
squash,\e85a
starcraft,\e85b
starcraft,\e85c
sumo,\e85e
surfing,\e85f
swimming,\e860
tabletennis,\e861
taekwondo,\e862
tennis,\e863
triathlon,\e864
vainglory,\e865
valorant,\e866
volleyball,\e867
warcraft3,\e86d
warcraft3,\e868
waterpolo,\e869
weightlifting,\e86a
wintersports,\e86b
worldoftanks,\e86c
wrestling,\e86e
